DivineComedy DanteAlighieri 00000018 27.500000
TheDecameron GiovanniBoccaccio 00000017 17.300000
TheScarletLetter Hawthorne 00000016 59.200000
ADollsHouse HenrikIbsen 00000015 83.600000
DonQuixote MiguelSaavedra 00000014 29.800000
CrimeandPunishment FyodorDostoevsky 00000013 78.900000
Resurrection LeoTolstoy 00000012 93.600000
AnnaKarenina LeoTolstoy 00000011 39.900000
MadameBovary GustaveFlaubert 00000010 15.900000
LesMiserables VictorHugo 00000009 56.200000
TheLadyoftheCamellias AlexandreDumas 00000008 67.500000
CountofMonteCristo AlexandreDumas 00000007 33.400000
EugenieGrandet HonoredeBalzac 00000006 41.800000
TheRedandtheBlack Stendhal 00000005 34.900000
PickwickPapers CharlesDickens 00000004 25.600000
Gulliverstravels JonathanSwift 00000003 43.200000
theoldmanandsea hemingway 00000002 22.400000
﻿AMidsummerNightsDream Shakespeare 00000001 15.300000
