	Pride-and-Prejudice	Jane	11111111	32.000000
	Black-Beauty	Anna	22222222	28.800000
	The-Red-and-the-Black	Stendhal	33333333	19.900000
	Jane-Eyre	Charlotte	44444444	45.000000
	Whtering-Height	Emily	55555555	8.000000
	Oliver-Twist	Charlotte	66666666	38.000000
	C	Me	77777777	39.000000
	Othello	William-Shakespeare	88888888	29.500000
	Miser	Moliere	99999999	44.560000
	Hypocrite	Moliere	12345678	35.000000
	ceshitushu	zuozhe	12345678	11.110000
	daxue	Confucius	87654321	34.000000
	xiyouji	wce	12341234	18.000000
	hongloumeng	cxq	43214321	22.000000
	sanguoyanyi	lgz	22223333	26.000000
	shuihuzhuan	sna	33338888	69.000000
