The C Programming Language    Brian W.Kernighan    7111128060	108
Romance of the Three Kingdoms    Luo Guanzhong    7806963391	40
The Adventures of Tom Sawyer	Mark Twain    9781115422857		24
Great Expectations    Charles John Huffam Dickens    978-1420929188		58
Paradise Lost    John Milton	9780313289262	26
White Teeth    Zadie Smith    9780140276336		76
Heart of Darkness    Joseph Conrad    9780007368624		80
Persuasion		Jane Austen		9780553211375	98
Jude the Obscure	Thomas Hardy	9780878910250	56
The Golden Notebook		Doris Lessing	9780553104257	90
The Remains of the Day		Kazuo Ishiguro	  9781452658353		70
The Waves	Virginia Woolf	9780156949606	78
The Good Soldier	Ford Madox Ford		9780099540670	60
Nineteen Eighty-Four	George Orwell	9780141393049	50
Vanity Fair		William Makepeace Thackeray		9780679405665	55

